# Arabic explicit terms — GENERATED, do not edit by hand.
#
#   python3 gen_terms_ar.py
#
# Curated vocabulary lives in gen_terms_ar.py, organised by dialect; the
# spellings below are expanded from it. Edit the generator, not this file.
#
# terms.py reads this AFTER terms.ar.tsv, and the compiler keeps the first
# weight it sees, so any hand-set weight in terms.ar.tsv always wins over the
# generated one here.

اباحي	8.0
اباحي hd	8.0
اباحي اردني	8.0
اباحي اماراتي	8.0
اباحي اون لاين	8.0
اباحي بنات	8.0
اباحي تونسي	8.0
اباحي جديد	8.0
اباحي جزايري	8.0
اباحي حقيقي	8.0
اباحي خليجي	8.0
اباحي ساخن	8.0
اباحي ساخنه	8.0
اباحي سعودي	8.0
اباحي سوداني	8.0
اباحي سوري	8.0
اباحي عراقي	8.0
اباحي عربي	8.0
اباحي عربيه	8.0
اباحي فضيحه	8.0
اباحي فلسطيني	8.0
اباحي قطري	8.0
اباحي كامل	8.0
اباحي كويتي	8.0
اباحي لبناني	8.0
اباحي ليبي	8.0
اباحي مترجم	8.0
اباحي مجانا	8.0
اباحي مجاني	8.0
اباحي محارم	8.0
اباحي محجبات	8.0
اباحي مراهقات	8.0
اباحي مسرب	8.0
اباحي مصري	8.0
اباحي مصريه	8.0
اباحي مغربي	8.0
اباحي منقبات	8.0
اباحي نار	8.0
اباحي نساء	8.0
اباحي يمني	8.0
اباحيات	8.0
اباحيه	8.0
اباحيه hd	8.0
اباحيه اردني	8.0
اباحيه اماراتي	8.0
اباحيه اون لاين	8.0
اباحيه بنات	8.0
اباحيه تونسي	8.0
اباحيه جديد	8.0
اباحيه جزايري	8.0
اباحيه حقيقي	8.0
اباحيه خليجي	8.0
اباحيه ساخن	8.0
اباحيه ساخنه	8.0
اباحيه سعودي	8.0
اباحيه سوداني	8.0
اباحيه سوري	8.0
اباحيه عراقي	8.0
اباحيه عربي	8.0
اباحيه عربيه	8.0
اباحيه فضيحه	8.0
اباحيه فلسطيني	8.0
اباحيه قطري	8.0
اباحيه كامل	8.0
اباحيه كويتي	8.0
اباحيه لبناني	8.0
اباحيه ليبي	8.0
اباحيه مترجم	8.0
اباحيه مجانا	8.0
اباحيه مجاني	8.0
اباحيه محارم	8.0
اباحيه محجبات	8.0
اباحيه مراهقات	8.0
اباحيه مسرب	8.0
اباحيه مصري	8.0
اباحيه مصريه	8.0
اباحيه مغربي	8.0
اباحيه منقبات	8.0
اباحيه نار	8.0
اباحيه نساء	8.0
اباحيه يمني	8.0
اتاره جنسيه	4.0
اتناكت	8.0
اثاره جنسيه	6.0
اثاره قنسيه	4.0
اجمل اباحي	8.0
اجمل اباحيه	8.0
اجمل استمناء	8.0
اجمل بزاز	8.0
اجمل بورن	8.0
اجمل تعري	8.0
اجمل خلاعه	8.0
اجمل دعاره	8.0
اجمل سكس	8.0
اجمل سكسي	8.0
اجمل شرجي	8.0
اجمل شرموطه	8.0
اجمل طيز	8.0
اجمل عاري	8.0
اجمل عاريه	8.0
اجمل عاهرات	8.0
اجمل قحبه	8.0
اجمل كس	8.0
اجمل متناكه	8.0
اجمل محارم	8.0
اجمل نياكه	8.0
اجمل نيك	8.0
احدث اباحي	8.0
احدث اباحيه	8.0
احدث استمناء	8.0
احدث بزاز	8.0
احدث بورن	8.0
احدث تعري	8.0
احدث خلاعه	8.0
احدث دعاره	8.0
احدث سكس	8.0
احدث سكسي	8.0
احدث شرجي	8.0
احدث شرموطه	8.0
احدث طيز	8.0
احدث عاري	8.0
احدث عاريه	8.0
احدث عاهرات	8.0
احدث قحبه	8.0
احدث كس	8.0
احدث متناكه	8.0
احدث محارم	8.0
احدث نياكه	8.0
احدث نيك	8.0
احلي اباحي	8.0
احلي اباحيه	8.0
احلي استمناء	8.0
احلي بزاز	8.0
احلي بورن	8.0
احلي تعري	8.0
احلي خلاعه	8.0
احلي دعاره	8.0
احلي سكس	8.0
احلي سكسي	8.0
احلي شرجي	8.0
احلي شرموطه	8.0
احلي طيز	8.0
احلي عاري	8.0
احلي عاريه	8.0
احلي عاهرات	8.0
احلي قحبه	8.0
احلي كس	8.0
احلي متناكه	8.0
احلي محارم	8.0
احلي نياكه	8.0
احلي نيك	8.0
اساره جنسيه	4.0
استمناء	6.0
استمناء hd	8.0
استمناء اردني	8.0
استمناء اماراتي	8.0
استمناء اون لاين	8.0
استمناء بنات	8.0
استمناء تونسي	8.0
استمناء جديد	8.0
استمناء جزايري	8.0
استمناء حقيقي	8.0
استمناء خليجي	8.0
استمناء ساخن	8.0
استمناء ساخنه	8.0
استمناء سعودي	8.0
استمناء سوداني	8.0
استمناء سوري	8.0
استمناء عراقي	8.0
استمناء عربي	8.0
استمناء عربيه	8.0
استمناء فضيحه	8.0
استمناء فلسطيني	8.0
استمناء قطري	8.0
استمناء كامل	8.0
استمناء كويتي	8.0
استمناء لبناني	8.0
استمناء ليبي	8.0
استمناء مترجم	8.0
استمناء مجانا	8.0
استمناء مجاني	8.0
